UWI,level_0,DEPT,M_RESM,M_GR,M_DPHI_SS,M_DRHO,M_DT_SHEAR,M_NPHI_SS,M_CALI,M_PE,M_DT,M_RESS,M_RHOB,M_CALI_X,M_SP,M_RESD,VMI,I_DT33,I_VCL,I_RXO,I_VQUA,I_SG,I_BMFG,I_DT66,I_DT55,I_PHIE,I_VDOL,I_LVMI,I_VCOA,I_BMFO,I_SWE,I_VBWA,I_BMFS,I_DT44,I_VLIM,I_BMFW,I_RHOB,I_SO,I_RT
Well_log1,Well_log1,151.4008,26.582040787,60.578144073,0.3045566976,-0.002093307,337.79742432,0.3669732213,6.0815844536,1.9424102306,96.413841248,25.994699478,2.1508164406,6.14174366,-58.86320877,26.944465637,0.6648000479,147.16088867,0.1052028015,18.582832336,0.5992362499,0.0,0.0,337.86190796,337.86190796,0.2797804177,0.0,0.2316338718,0.0,0.0445644557,0.6562464833,0.0157805197,0.8629196882,337.86190796,0.0,0.0925155059,2.1765754223,0.3437535465,20.462280273
Well_log1,Well_log1,151.4508,28.141857147,58.762489319,0.3082968593,-0.002298992,335.98217773,0.3590047061,6.0850071907,1.9312055111,157.31619263,27.489934921,2.1435763836,6.1369962692,-58.93466568,28.443635941,0.9355999827,146.33103943,0.1003443003,19.885324478,0.602750957,0.0,0.0,335.98214722,335.98214722,0.2818528116,0.0,0.2069740742,0.0,0.0638370588,0.5117267966,0.0150518976,0.8621434569,335.98214722,0.0,0.0740191266,2.1735150814,0.4882732332,22.863161087
Well_log1,Well_log1,151.5008,30.532772064,56.649635315,0.3130543232,-0.002557329,334.34860229,0.3635007739,6.0889377594,1.9209464788,199.08912659,29.798099518,2.1334693432,6.1299314499,-59.21078491,30.76830864,0.8640000224,145.76098633,0.0878378972,21.979724884,0.6128166914,0.0,0.0,334.34860229,334.34860229,0.2861697376,0.0,0.1557739377,0.0,0.0653151497,0.5080527663,0.013175685,0.8607484698,334.34860229,0.0,0.0739371032,2.1670489311,0.4919472337,26.536924362
Well_log1,Well_log1,151.5508,34.509658813,53.856357574,0.320112586,-0.002815665,332.71505737,0.3477196991,6.0928688049,1.9047417641,197.06575012,33.719894409,2.1217417717,6.1228666306,-59.95547104,34.674915314,0.6240000129,145.24369812,0.0677212477,23.757238388,0.6168954968,0.0530804396,0.0079840627,332.79855347,332.79855347,0.3052251041,0.0,0.0859491602,0.0,0.0527889356,0.5774488449,0.0101578655,0.8519558907,332.79855347,0.0,0.0872713625,2.1489892006,0.3694582582,33.388996124
Well_log1,Well_log1,151.6008,39.692501068,51.063121796,0.3271275461,-0.002629523,331.60379028,0.3097070754,6.0913729668,1.9179724455,195.0423584,38.997371674,2.1099479198,6.1107788086,-60.70015335,39.797496796,0.2199999988,144.95077515,0.0607095025,26.58014679,0.5860155821,0.1853126436,0.0279103313,331.60379028,331.60379028,0.3441677988,0.0,0.0688415095,0.0,0.0547429211,0.4875472486,0.0091063231,0.8312399387,331.60379028,0.0,0.086107567,2.1102819443,0.3271070719,46.202270508
Well_log1,Well_log1,151.6508,46.598644257,48.185302734,0.3335086703,-0.002175553,330.80725098,0.306976378,6.086607933,1.8845527172,180.25419617,46.277950287,2.0992567539,6.0956645012,-61.35428238,46.699493408,0.0775999948,144.90940857,0.0552410558,29.804840088,0.5899778605,0.1817640513,0.027602559,330.80725098,330.80725098,0.3464947641,0.0,0.0581080168,0.0,0.0490370691,0.5269409418,0.0082863076,0.830308497,330.80725098,0.0,0.0930521563,2.0651788712,0.2912952602,62.252632141
Well_log1,Well_log1,151.7008,55.768478394,45.061878204,0.337839365,-0.001721583,330.01074219,0.2974330783,6.0818428993,1.8051669598,128.36831665,56.155971527,2.0905754566,6.0805501938,-61.74522781,56.007709503,0.0,144.88719177,0.0457063317,26.46651268,0.5968858004,0.1888206303,0.0290798824,330.03543091,330.03543091,0.3505520225,0.0,0.0412302576,0.0,0.0295698661,0.6384055018,0.0068556378,0.8288494945,330.03543091,0.0,0.1125015318,2.0465464592,0.1727755815,88.81149292
Well_log1,Well_log1,151.7508,64.315879822,41.938453674,0.3421700895,-0.000968934,329.38519287,0.29421103,6.0761551857,1.7205150127,76.482414246,64.765922546,2.0838534832,6.0697507858,-62.13616943,64.696296692,0.0008,144.9593811,0.0402778201,27.799396515,0.6008181572,0.188670218,0.0292718895,329.38519287,329.38519287,0.3528616726,0.0,0.0339485519,0.0,0.0457051396,0.5468512177,0.0060413228,0.8279021382,329.38519287,0.0,0.0971208587,2.0497405529,0.2644677162,114.55841064
Well_log1,Well_log1,151.8008,71.546775818,38.989902496,0.345600009,3.5756e-06,328.88552856,0.2901393771,6.0697889328,1.6784338951,35.705657959,72.194580078,2.0792472363,6.0621275902,-62.58839035,72.019767761,0.239199996,145.14842224,0.0291081816,43.609291077,0.6089105606,0.164910242,0.0259970315,328.88555908,328.88555908,0.3576143682,0.0,0.0208012518,0.0,0.0776613504,0.3920440972,0.0043658977,0.8255929351,328.88555908,0.0,0.0707486793,2.0570726395,0.4430740178,132.96452332
Well_log1,Well_log1,151.8508,74.958023071,36.707206726,0.345600009,0.0009760854,328.38586426,0.2957243919,6.0634222031,1.6345243454,37.229003906,77.82220459,2.0770432949,6.0545043945,-63.27390289,75.303405762,0.0,145.32888794,0.0234030318,96.721763611,0.6130444407,0.1508195251,0.0239624735,328.30200195,328.30200195,0.3600416183,0.0,0.0155270621,0.0,0.107344158,0.2412173152,0.0035102991,0.8243318796,328.30200195,0.0,0.0443614721,2.0604360104,0.6079346538,132.13381958
Well_log1,Well_log1,151.9008,74.906494141,34.424446106,0.345600009,0.0016123226,327.22021484,0.3101346493,6.0605635643,1.6224968433,38.752372742,77.757148743,2.0773198605,6.057410717,-63.9593544,74.987770081,0.1215999946,145.45861816,0.0215018038,88.427078247,0.6144222021,0.132184878,0.0210543927,327.22024536,327.22024536,0.3608513772,0.0,0.0139815826,0.0,0.114164412,0.2226637751,0.0032254253,0.8237428665,327.22024536,0.0,0.0410381965,2.0714464188,0.6450653672,172.48435974
Well_log1,Well_log1,151.9508,72.169670105,32.440891266,0.3450645804,0.0019479526,325.459198,0.3298669159,6.0608415604,1.6185244322,39.941246033,73.193161011,2.0806820393,6.0697302818,-64.51498413,71.864456177,0.0,145.51911926,0.0256046765,120.3290329,0.6114494801,0.1295607835,0.0205150228,325.459198,325.459198,0.359105438,0.0,0.0174256768,0.0,0.1175965741,0.2020299286,0.0038403859,0.8244277239,325.459198,0.0,0.0374598503,2.0888934135,0.6683724523,209.37236023
Well_log1,Well_log1,152.0008,70.886787415,32.027702332,0.3417322934,0.0022835825,323.69818115,0.3275574744,6.0611190796,1.6375787258,39.374004364,70.476020813,2.0862503052,6.0820498466,-64.38860321,70.178199768,0.0,145.56948853,0.0238539372,227.75454712,0.6179107428,0.1061642841,0.0168314874,323.58111572,323.58111572,0.354657501,0.0,0.0159334484,0.0,0.1222747564,0.1845519692,0.0035778109,0.8269583583,323.58111572,0.0,0.0339352228,2.1050813198,0.7092803121,184.67399597
Well_log1,Well_log1,152.0508,71.848892212,31.614524841,0.3384716511,0.0021326658,320.8107605,0.3583874106,6.0618481636,1.6641205549,38.80676651,70.761161804,2.09202981,6.0932717323,-64.26222992,70.906898499,0.0,145.54277039,0.0188493468,315.71359253,0.6532101035,0.0,0.0,320.81072998,320.81072998,0.3251127005,0.0,0.0118847713,0.0,0.1340865344,0.1326874048,0.0028278269,0.84399122,320.81072998,0.0,0.021921346,2.1103959084,0.8673126101,188.36277771
Well_log1,Well_log1,152.1008,75.501853943,31.246124268,0.3353677094,0.0014546574,316.70303345,0.3440362215,6.0630664825,1.661621213,38.319984436,74.660491943,2.0967195034,6.1033039093,-64.10177612,74.531295776,0.056400001,145.4004364,0.0185135361,214.57659912,0.6549243331,0.0,0.0,316.70303345,316.70303345,0.3237848282,0.0,0.0116725592,0.0,0.1220937669,0.2062000036,0.0027772915,0.8448063135,316.70303345,0.0,0.0330998041,2.112954855,0.7937999964,136.74981689
Well_log1,Well_log1,152.1508,84.40473938,31.232049942,0.3341771662,0.0007766489,312.59527588,0.3199551404,6.0642843246,1.6758086681,38.471126556,85.7057724,2.099489212,6.1133365631,-63.67116165,83.820480347,0.0611999966,145.26071167,0.0239707492,118.59590912,0.6504161954,0.0,0.0,312.55209351,312.55209351,0.3220171034,0.0,0.0159909613,0.0,0.1114188209,0.27108109,0.0035959764,0.8453783393,312.55209351,0.0,0.0432019457,2.1155474186,0.7289188504,99.981575012
Well_log1,Well_log1,152.2008,90.110877991,31.217983246,0.3329055309,3.42372e-05,307.92654419,0.3323488235,6.0604529381,1.6952418089,38.622264862,92.502792358,2.1013944149,6.1208086014,-63.24055099,89.759437561,0.0,145.14936829,0.0230036229,56.045150757,0.6517133117,0.0118368501,0.0018822835,307.92654419,307.92654419,0.3218320906,0.0,0.0151706459,0.0,0.0967784971,0.3527306914,0.0034509765,0.8456829786,307.92654419,0.0,0.0556562766,2.1190099716,0.6354346275,79.048812866
